epoch,accuracy,loss,val_accuracy,val_loss
0,0.3634099066257477,1.3262157440185547,0.4322766661643982,1.2941449880599976
1,0.6598394513130188,0.9849591255187988,0.6282420754432678,0.9836879372596741
2,0.7899252772331238,0.5834332704544067,0.6743515729904175,0.8246729969978333
3,0.8530307412147522,0.41391637921333313,0.6858789920806885,0.8108775615692139
4,0.8892886638641357,0.3225501477718353,0.6916426420211792,0.8543079495429993
5,0.9092167019844055,0.2624809741973877,0.6916426420211792,0.9209536910057068
6,0.9294215440750122,0.21291013062000275,0.6945244669914246,0.958379328250885
7,0.9410462379455566,0.1807030737400055,0.6916426420211792,0.9974265694618225
8,0.9510102272033691,0.15622763335704803,0.7002881765365601,1.0723075866699219
9,0.9573761224746704,0.1362132579088211,0.6829971075057983,1.1330357789993286
10,0.9651259183883667,0.12088539451360703,0.6974063515663147,1.1566840410232544
11,0.9681705236434937,0.10664407163858414,0.680115282535553,1.2827380895614624
12,0.9690008163452148,0.10317488014698029,0.6829971075057983,1.2644076347351074
13,0.972875714302063,0.09261351078748703,0.6829971075057983,1.330831527709961
14,0.9748131632804871,0.08609838783740997,0.6858789920806885,1.3403489589691162
15,0.9739828109741211,0.08549865335226059,0.6974063515663147,1.3798553943634033
16,0.9745364189147949,0.0790480226278305,0.6945244669914246,1.3589249849319458
17,0.9761970639228821,0.07439538836479187,0.6887608170509338,1.4008203744888306
18,0.975643515586853,0.07606510818004608,0.6685879230499268,1.4724990129470825
19,0.9759202599525452,0.06935551762580872,0.680115282535553,1.4721424579620361
20,0.9781345129013062,0.06233465299010277,0.6858789920806885,1.4932835102081299
21,0.9778577089309692,0.06492483615875244,0.6685879230499268,1.5093965530395508
22,0.9775809645652771,0.06460869312286377,0.6685879230499268,1.5933820009231567
23,0.976473867893219,0.06142791360616684,0.6743515729904175,1.546097755432129
24,0.9786880612373352,0.060818273574113846,0.6657060384750366,1.5915837287902832
